funded_amnt,loan_term_year,int_rate,grade_code,purpose_code,addr_state_code,home_ownership_code,annual_inc,dti,revol_util,pub_rec_bankruptcies,repaid,total_pymnt
2400,3,15.96,2,11,2,4,12252,8.72,98.5,0,1,3005.666844
10000,3,13.49,2,9,0,4,49200,20,21,0,1,12231.890000000902
3000,3,18.64,4,0,0,4,48000,5.35,87.5,0,1,3939.135293905698
5600,5,21.28,5,11,0,3,40000,5.55,32.6,0,0,647.5
5375,5,12.69,1,9,5,4,15000,18.08,36.5,0,0,1484.59
12000,3,12.69,1,2,0,3,75000,10.78,67.1,0,1,13947.98916
3000,3,9.91,1,1,2,4,15000,12.56,43.1,0,1,3480.269999
10000,3,10.65,1,9,0,4,100000,7.06,55.5,0,0,7471.99
10000,3,15.27,2,4,0,4,42000,18.6,70.2,0,1,12527.15
9200,3,6.03,0,2,0,4,77385,9.86,23.1,0,1,9460.000848
20250,5,15.27,2,2,5,4,43370,26.53,85.6,0,1,27679.04999702957
21000,3,12.42,1,2,1,4,105000,13.22,90.3,0,0,14034.6
10000,3,11.71,1,1,5,3,50000,11.18,82.4,0,1,11907.35
10000,3,11.71,1,2,0,4,50000,16.01,91.8,0,1,11540.89198
6000,3,11.71,1,6,0,4,76000,2.4,29.7,0,0,2055.85
15000,3,9.91,1,1,2,0,92000,29.44,93.9,0,1,15823.99905
15000,3,14.27,2,2,4,4,60000,15.22,57.6,0,0,0
4000,3,11.71,1,2,1,0,106000,5.63,37.7,0,1,4486.293519
4375,3,7.51,0,2,4,0,17108,20.34,86.9,0,1,4899.96
31825,3,7.9,0,2,3,0,75000,14.03,27.4,0,1,34886.91378
10000,5,15.96,2,2,1,4,29120,22.83,63.6,0,1,14577.21885
7000,3,15.96,2,1,0,4,34000,6.35,60.5,0,1,8854.510004
10800,3,9.91,1,8,0,4,55596,5.5,13.3,0,1,12159.18687
12500,5,12.69,1,2,2,4,27000,16.04,50,0,1,16945.875952545503
12000,3,7.9,0,2,3,4,62300,16.7,21,0,1,13517.36
10000,3,10.65,1,9,4,4,27000,11.47,52.3,0,1,11726.32
15000,3,9.91,1,2,2,0,80000,9.12,63.7,0,0,16177.770000000002
25600,3,9.91,1,1,0,4,110000,15.71,62,0,1,29698.51000000091
7000,3,10.65,1,2,0,4,40000,7.38,92.9,0,1,8208.410003
12000,3,15.96,2,0,0,4,50000,20.88,90.8,0,0,3531.77
12000,3,9.91,1,1,5,4,46000,8.11,52.1,0,1,13751.14474
10000,3,10.65,1,1,5,4,51400,19.14,59.1,0,1,10576.43411
7100,3,16.77,3,2,5,0,33000,24,91.2,0,1,9083.530005
13000,5,12.69,1,2,3,0,30000,13.72,58.9,0,1,17402.23999
8950,5,17.27,3,11,0,4,40000,19.47,58.9,0,1,13227.100007269306
16425,3,14.27,2,2,0,4,44544,22.71,83.4,0,1,18174.82881
8200,5,21.28,5,11,0,4,75000,12.48,73.9,0,0,4177.11
15000,3,14.65,2,1,1,3,61000,11.88,79.5,0,1,18565.14804
6400,3,16.77,3,2,0,4,75000,20.22,67.5,0,0,4776.45
14400,3,8.9,0,2,4,3,150000,14.85,55,0,1,16460.85
12000,3,14.65,2,2,3,4,90000,16.56,78.5,0,1,12699.71201
11000,3,13.49,2,2,5,0,48000,21.82,65,0,1,13418.28
7200,5,21.67,5,2,0,4,75000,24.82,91.2,1,1,8204.774089
15000,3,7.9,0,11,5,0,52000,9.65,6.7,0,1,15557.68008
18000,5,19.91,4,2,1,0,65000,6.81,77.8,0,1,26034.66002330465
22075,5,17.27,3,4,4,0,150000,7.51,53.3,0,1,28887.10007
11800,3,12.69,1,1,4,4,42000,9.86,74.8,0,1,14249.84001
4500,3,6.03,0,6,0,4,53000,4.44,13.9,0,1,4930.5558913289005
7000,3,12.69,1,1,0,4,35000,11.35,82.3,0,1,8453.260001
9200,3,12.42,1,2,0,4,60000,19.96,78.7,0,1,10482.84389
4500,5,10.65,1,0,5,0,42000,5.4,78.3,0,1,4910.673856
12000,3,13.49,2,2,0,4,72000,21.33,27.6,0,1,13990.92132
12000,3,10.65,1,1,5,4,62000,23.94,78.4,0,1,12780.07239
8200,5,19.42,4,2,4,4,120000,2.8,88.4,0,1,11909.45001
10500,3,12.69,1,7,0,4,66000,20.73,51.2,0,1,11233.319409561202
7000,3,11.71,1,2,1,3,39120,21.01,52.4,0,1,7933.963622819699
3500,3,6.03,0,0,2,0,83000,2.31,13.4,0,1,3834.858171
6200,3,9.91,1,2,0,4,25000,20.64,47.7,0,0,2456.33
6000,3,8.9,0,2,3,3,28800,13.17,36.8,0,1,6858.700001287802
7200,3,9.91,1,1,4,4,135000,6.12,79.6,0,1,8352.709998
9500,3,8.9,0,1,5,0,50000,8.18,60.5,0,1,10495.82126
18825,5,16.77,3,2,5,4,38000,23.18,79.7,0,0,18749.25
24000,3,10.65,1,2,0,4,45000,14.8,55.2,0,1,28143.250008287203
6000,3,13.49,2,2,0,4,80000,11.58,83.8,0,1,7328.920002
26800,5,20.89,5,2,1,0,120000,12.15,48,0,1,32895.86293
8000,3,12.69,1,2,2,0,35000,10.05,97.7,0,1,9000.143229
10000,3,18.25,3,1,0,4,75000,24.14,96.3,0,0,11730.599999999922
10000,3,8.9,0,2,0,4,24000,7,49.5,0,1,10869.33055
10000,3,7.9,0,2,0,4,43000,25.26,37.2,0,1,11264.48
12000,3,9.91,1,2,0,4,50000,16.44,29.3,0,1,13921.18
10000,3,9.91,1,2,4,4,31200,14.81,27,0,1,10904.83903
11800,5,19.91,4,2,5,4,52000,20.7,87.6,0,0,12181.32
18000,3,7.9,0,2,0,4,56964,27.55,76.6,0,1,20276.0603
2500,3,14.27,2,2,1,4,49500,10.33,37.7,0,1,2529.902083
35000,3,8.9,0,2,0,0,125000,22.71,34.8,0,1,40009.00998998821
10000,3,7.51,0,1,3,4,33000,9.75,0.6,0,1,11028.357497108302
24000,3,15.96,2,4,0,0,90000,9.17,71.2,0,0,5903.1
6000,3,11.71,1,1,3,4,90000,2.97,56.6,0,1,7041.911592
10000,5,12.69,1,2,0,0,56000,10.82,31.2,0,1,12739.07
14000,3,14.27,2,2,0,4,52800,7.36,70.8,0,1,14488.26632
13500,3,9.91,1,2,0,4,38000,12.38,67.3,0,1,15659.00546
6000,3,10.65,1,4,3,0,87000,12.86,40.5,0,1,7000.232528
8450,5,16.77,3,2,2,3,25000,22.51,83.5,0,1,12206.22001
10000,3,11.71,1,2,0,4,60000,22.08,29.3,0,0,6002.38
13475,5,13.49,2,1,0,4,25000,21.89,65.8,0,0,6199.8
7200,3,12.42,1,6,2,4,48000,17.43,80.2,0,1,8677.64414
12000,3,14.27,2,2,0,4,57000,10.86,81.5,0,1,14401.595726905902
15000,3,17.27,3,5,1,0,44400,3.59,91.6,1,1,17994.71325
10000,3,6.62,0,1,4,0,70000,16.78,69,0,1,10903.4743
8000,3,14.65,2,0,0,4,28000,12.6,54.3,0,1,8637.015205
6000,3,14.27,2,0,5,0,94800,24.53,95.9,0,1,7217.547545
16000,5,9.91,1,2,1,3,40000,9.39,28.5,0,1,20209.06
2500,3,7.51,0,2,0,3,12000,16.3,42.2,0,0,1838.88
25000,3,12.42,1,2,3,4,225000,8.32,34.6,0,1,30073.68
10000,3,13.49,2,11,0,4,45900,24.97,48.3,0,1,12177.62544
7325,3,12.69,1,2,1,4,42000,22.57,65,0,1,8845.75
4000,3,12.42,1,1,4,4,135000,12.12,85.7,0,1,4337.425225
10000,3,13.49,2,11,0,4,65000,6.92,69.5,0,0,9270.84
7750,3,17.27,3,2,2,4,24000,16.1,67.1,0,0,6934
20000,5,20.89,5,2,1,4,70000,16.63,79.9,0,0,5427.53
9600,3,12.42,1,2,4,4,65000,11.65,70.9,0,1,11338.81667511457
21000,5,11.71,1,2,0,4,60000,6.62,79.9,0,0,3712.559999999999
13350,3,12.42,1,2,0,4,43000,20.57,95.3,0,1,16059.37
15000,3,17.27,3,2,0,4,75000,16.03,75.9,0,0,10199.39
11000,5,13.49,2,2,0,0,129000,10.94,24.1,0,1,15121.77002
35000,3,10.65,1,2,5,0,168000,3.17,1.4,0,1,38061.50487639249
16000,3,12.69,1,2,2,4,58500,20.64,89.3,0,0,12295.72
12000,3,10.65,1,1,0,4,60000,10.84,48.8,0,1,14071.629997721298
8400,5,16.77,3,6,4,4,87996,11.35,80.3,0,1,12290.64001
12000,3,14.27,2,9,4,0,70000,8.4,86.2,0,0,4249.37
9000,3,12.69,1,2,4,4,50000,17.81,55.4,0,1,10868.48
20000,3,13.49,2,2,0,4,75000,22.38,90.8,0,1,23865.33884
11500,3,15.27,2,2,1,4,36000,21.1,76.7,0,1,14406.18999
13650,3,12.42,1,2,0,0,86000,12.29,73.4,0,0,8204.31
10500,3,16.29,3,2,0,4,30000,15,55.5,0,0,2223.959999999999
12000,3,9.91,1,2,0,4,60000,15.5,85.7,0,1,13921.18
11500,3,15.27,2,1,0,0,44200,21.69,90,0,1,13605.53078
2000,3,15.27,2,8,5,4,41000,17.74,96.4,0,1,2520.401455858799
15075,3,14.27,2,2,5,4,35000,20.16,89.6,0,0,15502.77
12000,3,12.42,1,1,5,0,105000,13.98,75,0,1,14435.34999
8650,3,14.27,2,1,1,0,45000,7.6,58.9,0,1,10683.73
11800,5,17.27,3,2,3,0,109000,7.75,50.3,0,1,17607.96003
16000,5,17.27,3,2,5,4,50000,11.04,42.2,0,1,23997.98745
12000,3,12.42,1,2,0,4,83000,11.81,51.1,0,1,14435.349995621598
9500,3,12.69,1,8,0,0,52500,23.54,75.3,0,0,7010.96
14400,3,13.49,2,2,1,0,60000,16.92,65,0,1,15454.59422
4000,3,7.51,0,6,0,4,65000,18.17,50.7,0,1,4182.637561
1500,3,17.27,3,2,0,0,144000,8.23,97.8,0,1,1521.6
19600,3,12.42,1,1,4,4,75000,11.62,50.1,0,1,21996.45731
10000,3,12.69,1,1,0,4,70000,2.69,70.2,0,0,6352.74
3500,3,7.9,0,12,0,0,61440,6.46,55.5,0,1,3942.557993
12000,3,6.62,0,2,1,0,56000,13.65,80.3,0,1,13263.96
16500,3,8.9,0,2,2,4,47000,9.06,38.8,0,1,18858.32
15600,5,12.69,1,12,4,4,50000,5.78,35.7,0,0,17152.34
10800,3,12.42,1,1,0,4,135000,12.12,74.5,0,1,13007.71999
18825,5,17.58,3,2,4,0,44000,24.98,93.2,0,1,28424.10406
12000,3,9.91,1,2,5,4,80000,14.83,67.7,0,1,13909.61999
8000,3,7.9,0,12,4,4,78000,6.09,55.9,0,1,8847.221069
8975,5,17.27,3,11,5,4,26400,9.64,50.1,0,1,10202.58059
10500,3,6.03,0,2,5,0,65000,10.36,18.7,0,1,11504.35
7350,3,11.71,1,2,0,4,33000,22.51,77.9,0,1,8728.625013
10000,3,13.49,2,1,0,0,50000,5.88,47.6,0,1,12082.61063
12000,3,8.9,0,9,0,4,80000,9.13,83.5,0,0,10411.4
7000,3,11.71,1,2,0,4,75000,15.57,94.1,0,1,8335.090002
26825,5,18.64,4,2,2,0,85000,12,53,0,1,28062.238743333302
1400,3,7.9,0,9,1,4,28800,10,9.9,0,1,1478.900477
3200,3,9.91,1,2,0,4,61200,2.16,33.3,1,1,3711.14
8000,3,7.9,0,7,0,4,40000,13.35,34.4,0,1,8987.222603
11875,5,12.69,1,2,0,4,25920,23.75,94.1,0,0,1187.65
5000,3,6.03,0,4,3,0,54000,3.82,4,0,1,5411.159334863499
35000,3,8.9,0,2,2,4,85000,17.73,61.5,0,1,37305.86111
18000,3,8.9,0,1,4,4,78000,7,66.3,0,1,19886.52562
5000,3,12.42,1,2,5,4,70000,20.06,54.2,0,1,5501.552292
8000,3,15.96,2,1,2,4,70000,14.04,91.9,0,1,9998.939479
10000,3,7.51,0,2,3,4,50000,4.63,25.7,0,1,11021.305684908391
10400,3,9.91,1,2,1,4,40000,11.67,80.6,0,1,12024.29035
6600,3,9.91,1,5,1,0,100000,15.53,27.8,0,1,7276.236207
12000,3,8.9,0,2,3,3,40000,9.45,37.4,0,1,13717.39
13250,3,17.27,3,2,4,4,52000,23.7,91.5,0,1,15655.20629
12000,3,11.71,1,2,0,4,92500,15.97,56.2,0,1,14288.77
25000,3,9.91,1,2,0,4,61000,10.35,49.4,0,1,29002.420000002006
12000,3,7.51,0,1,0,0,68000,7.08,55.6,0,1,12554.81702
14400,3,11.71,1,1,0,4,80000,16.35,48.4,0,1,15544.00676
10000,3,12.42,1,1,4,4,43000,11.58,65.5,0,1,12029.45
8000,3,11.71,1,1,4,4,150000,2.48,56.2,0,1,9525.87
30000,5,12.42,1,11,5,4,70000,0.94,3.2,0,0,17183.470000000005
18000,5,16.77,3,4,0,3,40000,18.42,73.4,0,0,11229.37
14000,3,14.27,2,2,0,4,80000,16.21,96.2,0,1,17291.65001
10000,3,16.29,3,1,4,4,40000,24.39,96.4,0,1,12458.623179228798
23250,5,20.3,4,2,3,4,85000,20.16,74.5,0,1,36105.41996
13000,3,9.91,1,2,0,4,110000,8.38,81.3,0,1,14960.06316
18000,3,9.91,1,2,1,4,110000,10,62.5,0,1,19207.36256
9000,5,19.91,4,1,0,4,60000,22.56,91.1,0,0,5236
25000,5,18.64,4,2,4,4,61500,12.6,60.8,0,0,26611.67
10000,3,11.71,1,9,4,4,33000,8.69,88.3,0,1,11841.29287
4200,3,6.03,0,1,3,4,61000,8.92,12.9,0,1,4601.849929
20000,5,15.27,2,2,0,3,78216,10.79,80.3,0,0,5799.88
20000,5,14.65,2,1,0,0,56000,12.15,59.9,0,1,28327.70887
12000,3,12.42,1,1,3,4,50700,22.49,80.8,0,1,14435.34999
18000,5,19.03,4,1,4,4,90000,11.32,85.2,0,1,28033.51284
10000,3,13.49,2,2,0,4,84000,13.87,68.7,0,1,12159.18267
13475,5,10.65,1,2,5,0,175000,5.23,34.1,0,1,17437.81744
6300,3,11.71,1,1,4,4,30000,7.2,84.3,0,1,7501.630001681303
20000,5,16.77,3,1,2,4,50000,22.82,56.7,0,1,29674.60686
8250,5,15.96,2,4,4,0,35004,15.6,7.7,0,1,10439.29849
10000,3,11.71,1,1,1,4,32000,21.83,59.6,0,0,1962.02
24000,3,8.9,0,0,1,0,116400,3.94,8.1,0,0,8653.519999999999
14400,3,12.69,1,2,2,0,40000,20.16,79.5,0,1,17389.609996116098
22000,3,15.96,2,2,2,0,73000,22.47,85.1,0,1,27828.63995
10000,3,10.65,1,2,4,0,90000,11.16,59.4,0,1,11726.32
3500,3,13.49,2,2,1,4,56000,10.35,54.2,0,1,3615.368378
9875,3,7.9,0,2,4,0,40000,24.03,63.7,0,1,11123.65
4800,3,7.9,0,2,1,4,48000,13,26,0,1,5080.284197
20000,3,14.27,2,1,5,0,70000,6.21,89,0,1,24002.34106
5000,3,6.03,0,9,0,0,30000,16.48,25.6,0,1,5451.317057
9000,3,14.65,2,2,4,4,45000,17.01,50,1,1,10752.06648
7200,3,7.9,0,2,1,4,55000,11.98,46.1,0,1,8110.439998
3000,5,19.03,4,9,1,4,53004,10.73,79.4,0,0,4549.249996
25000,5,19.42,4,1,0,4,60000,20.04,94.9,0,0,29415.85
